unique_identifier,name,standart_length_mm,head_lenght_mm,intestine_length_mm,weight_g,sex,daphniidae,sididae,bosminidae,canthocamptidae,fish_scale,terrestrial_hemiptera,insect_frag,vegetal_frag,cladocera_frag,shiny_frag_rock,translucid_frag_rock,black_frag_rock,animal_fragment,filamentous_algae,spheric_brown_algae,clamydomonas,desmidiaceae,chironomidae_pupa,animal_mass,insect_egg,white_ostracoda,translucid_ostracoda,wrinkled_ostracoda,chrinomidae,diptera,clay,ceratopogonidae,fezes,insect_1,insect_2,diptera_adult,baetidae,megapodagrionidae,libellulidae,chydoridae,substrate,noctilucaceae,egg_ball_shaped,stratiomyidae,ephydridae,nematomorfa,psephenidae ,acari,odonata,simulidae,aglutinaded_rock_frag,diatomaceas,tubular_algae_micro,sphetical_membrane,leptohiphydae,formicidae,vermiform_mass,seed,Observação2
CRUCH#16A1P215112601,Compsura heterura,20.14,5.12,24,0.231,I,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112602,Compsura heterura,20.5,5.32,23.5,0.225,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112603,Compsura heterura,21.58,5.56,23.1,0.255,F,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112604,Compsura heterura,22.68,5.86,20,0.299,I,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112605,Compsura heterura,22,5.75,23,0.245,I,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112606,Compsura heterura,22.32,5.44,28,0.285,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112607,Compsura heterura,22.94,5.64,27.4,0.307,I,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112608,Compsura heterura,22.94,5.72,25,0.293,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112609,Compsura heterura,23.44,5.8,24.5,0.309,F,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRUCH#16A1P215112610,Compsura heterura,23.4,6.14,NA,0.349,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
