visit_id,bromeliad_id,dataset_id,dataset_name,species,actual_water,max_water,longest_leaf,num_leaf,height,diameter,extended_diameter,leaf_width,is_consec,total_detritus,max_water_combined,collection_date,habitat
41,5086,51,Pitilla 1997,Guzmania_sp,80,180,43,30,NA,NA,64,NA,TRUE,12.13743591851733,180,NA,NA
41,5091,51,NA,Guzmania_sp,NA,NA,69,30,NA,NA,69,5.5,TRUE,8.617256411903417,NA,NA,NA
41,5096,51,NA,Guzmania_sp,NA,NA,81,28,NA,NA,136,5.5,TRUE,30.123731338131886,NA,NA,NA
41,5101,51,NA,vriesea_sp,NA,NA,NA,20,NA,NA,77,5.5,TRUE,13.57486653885819,NA,NA,NA
41,5106,51,NA,Vriesea_sp,NA,NA,64,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
41,5111,51,NA,Guzmania_sp,NA,NA,NA,14,NA,NA,82,5.6,TRUE,11.64487161584975,NA,NA,NA
41,5116,51,NA,Guzmania_sp,NA,1,NA,13,NA,NA,11,1,NA,NA,1,NA,NA
41,5121,51,NA,Guzmania_sp,NA,0.7,16.5,8,NA,NA,24,1.2,NA,NA,0.7,NA,NA
41,5126,51,NA,Guzmania_sp,NA,15,29,12,NA,NA,30,2.7,TRUE,0.6017366329795647,15,NA,NA
41,5131,51,NA,Guzmania,NA,21,31,23,NA,NA,50,3.2,TRUE,0.47227809853080743,21,NA,NA
41,5136,51,NA,Vriesea_sp,580,580,56,21,NA,NA,80,9.5,TRUE,7.740723549499657,580,NA,NA
41,5141,51,NA,Vriesea_sp,23,29,36,8,NA,NA,40,5.5,TRUE,1.0057594317340153,29,NA,NA
41,5146,51,NA,Vriesea_sp,250,450,74,23,NA,NA,110,10,TRUE,30.709810259358395,450,NA,NA
41,5151,51,NA,Guzmania_sp,4,21,62,11,NA,NA,111,5.5,TRUE,4.230039383763834,21,NA,NA
41,5156,51,NA,Guzmania_sp,0,12,66,13,NA,NA,1080,6.3,TRUE,4.268043136032934,12,NA,NA
41,5161,51,NA,Guzmania_sp,7,15,32,11,NA,NA,46,3.1,TRUE,2.849337446635177,15,NA,NA
41,5166,51,NA,Vriesea_sp,930,950,75,30,NA,NA,108,9.4,TRUE,69.50110235513162,950,NA,NA
41,5171,51,NA,Vriesea_sp,1480,1530,80,36,NA,NA,126,12,TRUE,134.55211030603843,1530,NA,NA
41,5176,51,NA,Vriesea_sp,325,550,48,30,NA,NA,71,6.8,TRUE,15.11342548112682,550,NA,NA
41,5181,51,NA,Guzmania sp,9,86,78,-20,NA,NA,130,5.3,TRUE,10.96235577353852,86,NA,NA
46,336,56,NA,Guzmania_sp,108,138,31.5,38,3,39,44,4.5,TRUE,10.9356,138,"October 12, 2000",NA
46,341,56,NA,Guzmania_sp,89,280,63.5,25,0,84,102,7,TRUE,55.3272,280,10/13/2000,NA
46,346,56,NA,Guzmania_sp,106,378,53,35,3,71.25,72,7.1,TRUE,18.6812,378,NA,NA
46,351,56,NA,Guzmania_sp,5,24,29,21,18,33,38,4.7,TRUE,1.8432,24,17-Oct-2000,NA
46,356,56,NA,Vriesea_sp,75,114,29,44,1001,31.5,38,5,TRUE,1000,114,NA,NA
46,361,56,NA,Guzmania_sp,154,280,49,39,2,74,79,5.5,TRUE,15.8064,280,NA,NA
46,366,56,NA,Vriesea_sp,360,516,98,31,1,109.5,157,8.6,TRUE,70.6084,516,NA,NA
46,371,56,NA,Guzmania_sp,94,124,43,36,2,60.5,68,4.8,TRUE,8.8832,124,NA,NA
46,376,56,NA,Guzmania_sp,1,51,51.7,13,2,1048,71,5.7,TRUE,11.2668,51,20/10/00,NA
46,381,56,NA,Guzmania sp.,4,20,-49,8,0,41,70,5,TRUE,0.7792,20,???,NA
